path,slug,title,sidebar_order,sidebar_hidden,is_generated,is_major_doc,word_count,h1_count,h2_count,code_block_count,image_count,image_alt_present_ratio,internal_link_count,external_link_count,inbound_link_count,description_present,last_modified,last_author,age_days,distinct_committers_count,total_commits,vale_alert_count,vale_error_count,cspell_alert_count,a11y_total_issues,a11y_unique_rules,has_jsonld,in_llms_txt,instrumentation_count,ai_tell_signal_score,ai_tell_em_per_300,ai_tell_skill_verdict,risk_class,freshness_overdue,freshness_cadence_days,good_docs_type,diataxis_mode,seven_action,primary_persona,journey_stage_served,dd_steps_block_count,dd_inline_marker_count,dd_test_covered,dd_test_passed,dd_test_failed,dd_last_run,dari_task_count,dari_success_rate,dari_stuck_count,finding_ids_semicolon_delimited
src/content/docs/docs/account-management/account-management.mdx,docs/account-management/account-management,Account Management,37,false,false,false,451,0,5,0,3,0,2,1,2,false,2026-02-23 22:35:08 -0800,Prithvi Ramakrishnan,82,1,1,65,8,2,3,1,false,true,0,0,0,n-a,low,false,270,reference,reference,Remember,P1-TechWriter,Scale,0,0,false,,,,,,,
src/content/docs/docs/configuring-promptless/context-sources/confluence.mdx,docs/configuring-promptless/context-sources/confluence,Confluence,17,false,false,true,292,0,5,0,0,,1,1,1,false,2026-04-24 09:43:32 -0700,promptless[bot],23,2,2,41,14,0,3,1,false,true,0,2,2.23,n-a,medium,false,120,reference,reference,Develop,P1-TechWriter,Configure,0,0,false,,,,,,,
src/content/docs/docs/configuring-promptless/context-sources/jira.mdx,docs/configuring-promptless/context-sources/jira,Jira,16,false,false,true,325,0,6,0,1,0,1,1,1,false,2026-04-24 09:43:32 -0700,promptless[bot],23,2,2,88,37,0,3,1,false,true,0,0,1.97,n-a,medium,false,120,reference,reference,Develop,P1-TechWriter,Configure,0,0,false,,,,,,,
src/content/docs/docs/configuring-promptless/context-sources/linear.mdx,docs/configuring-promptless/context-sources/linear,Linear,15,false,false,true,272,0,5,0,1,0,1,1,1,false,2026-04-24 09:43:32 -0700,promptless[bot],23,2,2,41,12,0,3,1,false,true,0,2,2.41,n-a,medium,false,120,reference,reference,Develop,P1-TechWriter,Configure,0,0,false,,,,,,,
src/content/docs/docs/configuring-promptless/context-sources/notion.mdx,docs/configuring-promptless/context-sources/notion,Notion,18,false,false,true,536,0,6,0,0,,0,2,1,false,2026-04-29 09:45:10 -0700,promptless[bot],18,1,1,73,26,0,3,1,false,true,0,0,1.18,n-a,medium,false,120,reference,reference,Develop,P1-TechWriter,Configure,0,0,false,,,,,,,F-0003
src/content/docs/docs/configuring-promptless/context-sources.mdx,docs/configuring-promptless/context-sources,Context Sources,14,false,false,false,552,0,6,0,1,1,2,1,2,false,2026-05-01 12:29:18 -0700,promptless[bot],16,2,5,107,24,0,3,1,false,true,0,1,0,n-a,medium,false,120,concept,explanation,unknown,P1-TechWriter,Configure,0,0,false,,,,,,,
src/content/docs/docs/configuring-promptless/customizing-notifications.mdx,docs/configuring-promptless/customizing-notifications,Customizing Notifications,15,false,false,false,344,0,4,3,0,,3,0,0,true,2026-04-24 09:39:12 -0700,promptless[bot],23,1,1,49,9,0,3,1,false,true,0,1,1.03,n-a,medium,false,120,how-to,how-to,Develop,P1-TechWriter,Configure,0,0,false,,,,,,,
src/content/docs/docs/configuring-promptless/doc-collections/doc-detective-integration.mdx,docs/configuring-promptless/doc-collections/doc-detective-integration,Doc Detective Integration,21,false,false,false,504,0,3,0,0,,0,4,1,true,2026-05-12 07:28:15 -0700,Prithvi Ramakrishnan,5,1,2,70,21,0,3,1,false,true,0,0,0,n-a,medium,false,120,how-to,how-to,Develop,P1-TechWriter,Configure,0,0,false,,,,,,,
src/content/docs/docs/configuring-promptless/doc-collections/git-hub-repos-docs-as-code.mdx,docs/configuring-promptless/doc-collections/git-hub-repos-docs-as-code,GitHub Repos (Docs as Code),20,false,false,false,866,0,11,0,1,0,6,2,1,false,2026-05-12 06:09:26 -0700,Prithvi Ramakrishnan,5,2,5,143,44,1,3,1,false,true,0,3,2.12,n-a,medium,false,120,how-to,how-to,Develop,P1-TechWriter,Configure,0,0,false,,,,,,,
src/content/docs/docs/configuring-promptless/doc-collections/how-promptless-learns-your-docs.mdx,docs/configuring-promptless/doc-collections/how-promptless-learns-your-docs,How Promptless Learns Your Docs,19,false,false,false,436,1,3,1,0,,0,0,0,false,2026-04-28 17:00:31 -0700,promptless[bot],18,2,2,58,15,0,3,1,false,true,0,0,0,n-a,medium,false,120,how-to,how-to,Develop,P1-TechWriter,Configure,0,0,false,,,,,,,
src/content/docs/docs/configuring-promptless/triggers/api-triggers.mdx,docs/configuring-promptless/triggers/api-triggers,API Triggers,14,false,false,true,559,0,5,5,0,,0,3,0,false,2026-04-24 15:24:52 -0700,promptless[bot],23,1,2,72,11,0,3,1,false,true,0,2,1.23,weak,high,false,60,reference,reference,Develop,P2-Engineer,Configure,0,0,false,,,,,,,
src/content/docs/docs/configuring-promptless/triggers/git-hub-commits.mdx,docs/configuring-promptless/triggers/git-hub-commits,GitHub Commits,10,false,false,true,679,0,9,0,2,0,1,3,3,false,2026-04-28 18:18:42 -0700,promptless[bot],18,2,3,71,22,1,3,1,false,true,0,1,0,n-a,medium,false,120,reference,reference,Develop,P1-TechWriter,Configure,0,0,false,,,,,,,
src/content/docs/docs/configuring-promptless/triggers/git-hub-issues.mdx,docs/configuring-promptless/triggers/git-hub-issues,GitHub Issues,10,false,false,true,286,0,4,0,0,,2,1,0,false,2026-04-23 16:55:40 -0700,promptless[bot],24,1,1,45,9,0,3,1,false,true,0,0,0,n-a,medium,false,120,reference,reference,Develop,P1-TechWriter,Configure,0,0,false,,,,,,,
src/content/docs/docs/configuring-promptless/triggers/git-hub-p-rs.mdx,docs/configuring-promptless/triggers/git-hub-p-rs,GitHub PRs,9,false,false,true,1100,0,12,1,2,0,1,2,0,false,2026-04-24 09:42:21 -0700,promptless[bot],23,2,8,187,40,0,3,1,false,true,0,0,0.62,n-a,medium,false,120,reference,reference,Develop,P1-TechWriter,Configure,0,0,false,,,,,,,
src/content/docs/docs/configuring-promptless/triggers/intercom-tickets-beta.mdx,docs/configuring-promptless/triggers/intercom-tickets-beta,Intercom Tickets (Beta),14,false,false,true,222,0,4,0,0,,2,1,1,false,2026-02-23 22:35:08 -0800,Prithvi Ramakrishnan,82,1,1,28,5,0,3,1,false,true,0,0,0,n-a,medium,false,120,reference,reference,Develop,P3-Support,Configure,0,0,false,,,,,,,
